circuit,pilote,team,round,annee,forme_recent_norm,performance_norm,pref_circuit_norm,forme_brute,performance_brute,pref_circuit_brute,experience,is_rookie,best_recent_pts,avg_recent_pts,is_wet,wet_avg_pts,wet_race_count,pts_sur_le_weekend,position_reelle,forme_recent_norm_equipe,performance_norm_equipe,preference_circuit_norm_equipe,forme_brute_equipe,performance_brute_equipe,pref_circuit_brute_equipe
Emilia Romagna Grand Prix,leclerc,ferrari,4,2022,0.9999999999894336,0.5962795585573395,0.0,94.64,97.49142173381522,0.0,84,0,26.0,17.666666666666668,0,17.666666666666668,0,8.0,6,0.9999999999924324,0.9855837129333614,0.0,132.14,165.99167984636534,0.0
Emilia Romagna Grand Prix,tsunoda,rb,4,2022,0.0422654268803648,0.0353145564962,0.0,4.0,5.773913043478261,0.0,25,0,6.0,2.0,0,2.0,0,6.0,7,0.0,0.0589996015759432,0.0,0.0,14.140478901597788,0.0
Emilia Romagna Grand Prix,vettel,aston_martin,4,2022,0.0,0.5265709085855097,0.0,0.0,86.09409090909092,0.0,238,0,4.0,2.0,0,2.0,0,4.0,8,0.0,0.10272269719372,0.0,0.0,21.305942346525384,0.0
Emilia Romagna Grand Prix,kevin_magnussen,haas,4,2022,0.1331360946731494,0.1085988278741042,0.0,12.6,17.755856252540305,0.0,123,0,2.0,1.3333333333333333,0,1.3333333333333333,0,2.0,9,0.0953534130460469,0.0671400233049244,0.0,12.6,15.474554028281933,0.0
Emilia Romagna Grand Prix,stroll,aston_martin,4,2022,0.0,0.0480818758756877,0.0,0.0,7.861363636363634,0.0,103,0,1.0,0.3333333333333333,0,0.3333333333333333,0,1.0,10,0.0,0.10272269719372,0.0,0.0,21.305942346525384,0.0
Emilia Romagna Grand Prix,albon,williams,4,2022,0.0178571428569541,0.0608860795230944,0.0,1.6900000000000002,9.954844789356985,0.0,41,0,1.0,0.3333333333333333,0,0.3333333333333333,0,0.0,11,0.0127894657180809,0.0321371350921356,0.0,1.6900000000000002,9.738182611486572,0.0
Emilia Romagna Grand Prix,gasly,rb,4,2022,0.0906593406583827,0.1247583260773371,0.0,8.58,20.397926455566907,0.0,89,0,4.0,2.0,0,2.0,0,0.0,12,0.0,0.0589996015759432,0.0,0.0,14.140478901597788,0.0
Emilia Romagna Grand Prix,hamilton,mercedes,4,2022,0.386517328820937,0.999999999993884,0.0,36.58,163.4995202067521,0.0,239,0,12.0,4.333333333333333,0,4.333333333333333,0,0.0,13,0.6578628727057828,0.999999999993898,0.0,86.93,168.35426137185686,0.0
Emilia Romagna Grand Prix,ocon,alpine,4,2022,0.280431107351221,0.1960098927378435,0.0,26.54,32.047523418610375,0.0,92,0,8.0,4.666666666666667,0,4.666666666666667,0,0.0,14,0.2159830482804905,0.2363327819657575,0.0,28.54,43.20233748462411,0.0
Emilia Romagna Grand Prix,zhou,sauber,4,2022,0.0105663567200912,0.0122324517983825,0.0,1.0,2.0,0.0,3,1,0.0,0.0,0,0.0,0,0.0,15,0.0,0.0,0.0,0.0,4.47145884744978,0.0
Emilia Romagna Grand Prix,latifi,williams,4,2022,0.0,0.0021406790647169,0.0,0.0,0.35,0.0,42,0,0.0,0.0,0,0.0,0,0.0,16,0.0127894657180809,0.0321371350921356,0.0,1.6900000000000002,9.738182611486572,0.0
Emilia Romagna Grand Prix,mick_schumacher,haas,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0,0.0,0,0.0,0,0.0,17,0.0953534130460469,0.0671400233049244,0.0,12.6,15.474554028281933,0.0
Emilia Romagna Grand Prix,ricciardo,mclaren,4,2022,0.1428571428556333,0.3356074043814551,0.0,13.52,54.87164959453694,0.0,213,0,8.0,2.6666666666666665,0,2.6666666666666665,0,0.0,18,0.2892386862396758,0.296940103639174,0.0,38.22,53.134835214022445,0.0
Emilia Romagna Grand Prix,alonso,alpine,4,2022,0.0211327134401824,0.2183084944658659,0.0,2.0,35.69333410244579,0.0,199,0,0.0,0.0,0,0.0,0,0.0,19,0.2159830482804905,0.2363327819657575,0.0,28.54,43.20233748462411,0.0
Emilia Romagna Grand Prix,sainz,ferrari,4,2022,0.3962383770034209,0.3473589355643031,0.0,37.5,56.79301930463903,0.0,144,0,15.0,5.0,0,5.0,0,0.0,20,0.9999999999924324,0.9855837129333614,0.0,132.14,165.99167984636534,0.0
Miami Grand Prix,max_verstappen,red_bull,5,2022,0.7986561631068773,0.7200830086788323,0.0,89.622,117.73322642874366,0.0,145,0,26.0,17.333333333333332,0,17.333333333333332,0,26.0,1,0.999999999994292,0.9540554395239228,0.0,175.18800000000002,172.27340331552637,0.0
Miami Grand Prix,leclerc,ferrari,5,2022,0.9999999999910886,0.6457850105413817,0.0,112.216,105.58553938087404,0.0,85,0,26.0,17.333333333333332,0,17.333333333333332,0,18.0,2,0.8546019133681839,0.9638248797771324,0.0,149.716,173.99167984636534,0.0
